time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths
95,0.06437177605109487,0.008083743223357653,0.01397594672262776,0.869211562043796,0.0006654433910948898,0.001251983913868614,0.002061597006569341,0.04435696795620433
96,0.06375785039416058,0.007536140178102181,0.013119561788321155,0.8711596000000015,0.0006191975762773722,0.0011668003554744521,0.0019480361613138663,0.044426847883211655
97,0.06318719522627746,0.007024122432846714,0.01229988295620437,0.8729963605839415,0.0005756442874452557,0.0010876620525547452,0.001836751069343067,0.04449244554744521
98,0.0626571194963504,0.006544601332846729,0.011519565686131387,0.8747247656934299,0.0005347914049635041,0.0010143122328467164,0.001728416760583942,0.044553947080291936
99,0.06216494851094886,0.006095150002189787,0.010779487729927017,0.8763488598540153,0.000496613051678832,0.000946064786277374,0.0016240993562043787,0.04461154160583936
100,0.06170811418978102,0.005673928865693425,0.01007935165693431,0.8778731627737222,0.0004610167115328468,0.0008822380329927004,0.0015242935532846717,0.044665439854014576
101,0.06128417700729926,0.00527946599708029,0.009418196467153294,0.8793023328467158,0.0004278711259854009,0.000822334635912409,0.0014291598613138696,0.04471583788321166
102,0.0608908397153284,0.004910453620437961,0.008794540005109486,0.880641227737227,0.00039703008919708,0.0007660418643795616,0.0013389124124087584,0.044762928540146005
103,0.060525969868613125,0.0045656551459854,0.008206676141605846,0.8818947963503654,0.0003683370897810218,0.0007131356494890522,0.0012535599058394154,0.044806900145985415
104,0.06018758678832114,0.004243843013138684,0.007652925218248168,0.8830677160583936,0.0003416377401459852,0.0006634494194160574,0.0011729142978102172,0.04484793547445258
105,0.05987384573722633,0.003943735648905113,0.0071319105846715265,0.8841643131386843,0.0003167895467153284,0.0006168963702189779,0.0010965977591240862,0.04488619963503646
106,0.05958302024087584,0.0036636397802919727,0.006643968210948916,0.8851875072992696,0.0002936715129927014,0.0005737676144525543,0.0010232026167883224,0.04492185941605836
107,0.059313434467153245,0.003402196174452559,0.0061881085262773805,0.8861411810218981,0.00027224110102189777,0.0005336851806569352,0.0009536693315328464,0.04495507927007297
108,0.059063502963503656,0.003158272797080294,0.005762508066423358,0.8870296890510954,0.0002524073303649635,0.0004963307788321164,0.0008885158439416071,0.044986018759124065
109,0.05883175678102193,0.0029309557671532856,0.005364917578832121,0.8878575321167871,0.00023405151401459856,0.00046136900890511004,0.0008278396147445263,0.04501483211678835
110,0.05861686364963507,0.002719385737956198,0.004993171627007298,0.8886289255474454,0.00021704407357664248,0.0004286141588321172,0.0007713839542335786,0.04504165751824818
111,0.05841760539416061,0.00252267475109489,0.004645448050364956,0.88934764671533,0.00020126443759124044,0.00039797594583941537,0.0007187272218978117,0.045066624233576665
112,0.058232866547445236,0.0023398940635036484,0.004320262848905114,0.8900171197080264,0.00018661051248175186,0.0003693912109489053,0.0006694775097080286,0.0450898527007299
113,0.05806161130656929,0.002170113802189779,0.004016358171532838,0.8906404569343068,0.000172998156569343,0.00034277845459853966,0.0006233377252554746,0.04511145204379566
114,0.05790288095620439,0.002012437204379562,0.0037325883686131415,0.8912205554744534,0.0001603559944525545,0.0003180325767153289,0.0005800953269343069,0.045131535109489085
115,0.05775577568613133,0.001866022024817518,0.003467862048175182,0.8917601394160581,0.0001486195438686132,0.00029503471708029196,0.0005395849351824815,0.0451501981021897
116,0.05761945291240877,0.0017300861941605822,0.003221117275912417,0.8922618233576626,0.00013772928591240877,0.0002736652453284673,0.0005016638100729933,0.04516753678832118
117,0.05749313253284662,0.0016039073131386837,0.0029912863496350376,0.8927280248175182,0.00012762908138686148,0.0002538081842335766,0.0004662247766423356,0.04518364372262773
118,0.057376083080291976,0.001486818609489049,0.0027771608445255466,0.893161333576644,0.00011826424408759143,0.0002353527288321167,0.0004333047932846721,0.04519859956204383
119,0.05726763840145991,0.0013781947727007295,0.0025776688540145973,0.8935640102189795,0.00010957685639416052,0.00021820010883211697,0.00040267414394160684,0.04521248613138687
120,0.05716717719708029,0.0012774492870802916,0.002391856729197079,0.8939381437956205,0.00010151532773722627,0.00020226101321167892,0.0003741318131386861,0.04522537642335761
121,0.057074120036496374,0.0011840038967153264,0.0022189176766423354,0.8942856299270067,9.403433004379573e-05,0.00018747966620437975,0.00034748069489051124,0.04523733364963495
122,0.05698793461313866,0.0010973162441605857,0.0020581036474452575,0.8946082094890511,8.709521277372254e-05,0.0001737829262043796,0.0003225923821897812,0.04524842985401456
123,0.05690811475912404,0.0010168880398540134,0.00190868157810219,0.8949075890510938,8.066342781021908e-05,0.00016109179489051095,0.0002993791037956207,0.04525872094890511
124,0.05683419460583945,0.0009422674777372256,0.001769915399999999,0.8951853562043797,7.47042519708029e-05,0.00014932517262773728,0.00027776418941605836,0.04526826437956204
125,0.05676573664963495,0.0008730442757664235,0.0016410816313868605,0.8954430291970787,6.918496291970802e-05,0.00013840811916788313,0.0002576649356204379,0.045277114306569305
126,0.05670233681021891,0.0008088420954744529,0.0015214884335766436,0.8956820240875906,6.407364802919703e-05,0.00012827550099270082,0.00023898897948905089,0.04528531985401453
127,0.05664362381751829,0.0007493108429197077,0.0014104839458394176,0.895903658394159,5.933990569343051e-05,0.0001188710208029196,0.0002216420581751825,0.045292927153284666
128,0.05658924922627745,0.0006941209582481749,0.0013074633821897822,0.8961091905109482,5.4955380291970696e-05,0.00011014529131386838,0.00020553201021897773,0.045299980218978145
129,0.056538893153284635,0.0006429644237956201,0.0012118656251824808,0.8962997576642345,5.0894413576642406e-05,0.0001020504244525547,0.00019057184656934314,0.04530651773722619
130,0.05649225837956208,0.0005955523248175181,0.001123174581240878,0.8964764372262783,4.7132868029197066e-05,9.454547520437949e-05,0.00017667851401459886,0.045312576277372243
